Glyph Name,Unicode Codepoint (hex),Character
uniE175,U+E175,
uniE176,U+E176,
uniE177,U+E177,
uniE178,U+E178,
uniE179,U+E179,
uniE17A,U+E17A,
uniE17B,U+E17B,
uniE17C,U+E17C,
uniE17D,U+E17D,
uniE17E,U+E17E,
uniE17F,U+E17F,
uniE180,U+E180,
uniE181,U+E181,
uniE182,U+E182,
uniE183,U+E183,
uniE184,U+E184,
uniE185,U+E185,
uniE186,U+E186,
uniE187,U+E187,
uniE188,U+E188,
uniE189,U+E189,
uniE18A,U+E18A,
uniE18B,U+E18B,
uniE18C,U+E18C,
uniE18D,U+E18D,
uniE18E,U+E18E,
uniE18F,U+E18F,
uniE190,U+E190,
uniE191,U+E191,
uniE192,U+E192,
uniE193,U+E193,
uniE194,U+E194,
uniE195,U+E195,
uniE196,U+E196,
uniE197,U+E197,
uniE198,U+E198,
uniE199,U+E199,
uniE19A,U+E19A,
uniE19B,U+E19B,
uniE19C,U+E19C,
uniE19D,U+E19D,
uniE19E,U+E19E,
uniE19F,U+E19F,
uniE1A0,U+E1A0,
uniE1A1,U+E1A1,
uniE1A2,U+E1A2,
uniE1A3,U+E1A3,
uniE1A4,U+E1A4,
uniE1A5,U+E1A5,
uniE1A6,U+E1A6,
uniE1A7,U+E1A7,
uniE1A8,U+E1A8,
uniE1A9,U+E1A9,
uniE1AA,U+E1AA,
uniE1AB,U+E1AB,
uniE1AC,U+E1AC,
uniE1AD,U+E1AD,
uniE1AE,U+E1AE,
uniE1AF,U+E1AF,
uniE1B0,U+E1B0,
uniE1B1,U+E1B1,
uniE1B2,U+E1B2,
uniE1B3,U+E1B3,
uniE1B4,U+E1B4,
uniE1B5,U+E1B5,
uniE1B6,U+E1B6,
uniE1B7,U+E1B7,
uniE1B8,U+E1B8,
uniE1B9,U+E1B9,
uniE1BA,U+E1BA,
uniE1BB,U+E1BB,
uniE1BC,U+E1BC,
uniE1BD,U+E1BD,
uniE1BE,U+E1BE,
uniE1BF,U+E1BF,
uniE1C0,U+E1C0,
uniE1C1,U+E1C1,
uniE1C2,U+E1C2,
uniE1C3,U+E1C3,
uniE1C4,U+E1C4,
uniE1C5,U+E1C5,
uniE1C6,U+E1C6,
uniE1C7,U+E1C7,
uniE1C8,U+E1C8,
uniE1C9,U+E1C9,
uniE1CA,U+E1CA,
uniE1CB,U+E1CB,
uniE1CC,U+E1CC,
uniE1CD,U+E1CD,
uniE1CE,U+E1CE,
uniE1CF,U+E1CF,
uniE1D0,U+E1D0,
uniE1D1,U+E1D1,
uniE1D2,U+E1D2,
uniE1D3,U+E1D3,
uniE1D4,U+E1D4,
uniE1D5,U+E1D5,
uniE1D6,U+E1D6,
uniE1D7,U+E1D7,
uniE1D8,U+E1D8,
uniE1D9,U+E1D9,
uniE1DA,U+E1DA,
uniE1DB,U+E1DB,
uniE1DC,U+E1DC,
uniE1DD,U+E1DD,
uniE1DE,U+E1DE,
uniE1DF,U+E1DF,
uniE1E0,U+E1E0,
uniE1E1,U+E1E1,
uniE1E2,U+E1E2,
uniE1E3,U+E1E3,
